City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
112,tehran,35.6944,51.4215,18.99,68,75,3.09,IR,1726367835
113,bir hadaj,31.0263,34.7031,23.34,78,27,2.51,IL,1726368066
114,longyearbyen,78.2186,15.6401,6.91,81,75,4.12,SJ,1726368067
115,yashkino,55.8736,85.4265,4.86,81,5,3.94,RU,1726368068
116,copala,16.65,-98.9833,27.22,81,99,0.05,MX,1726368069
117,hawaiian paradise park,19.5933,-154.9731,27.15,74,75,3.6,US,1726368071
118,udachny,66.4167,112.4,2.33,76,86,7.9,RU,1726368072
119,tlahualilo de zaragoza,26.1167,-103.45,22.34,76,99,5.08,MX,1726368073
120,lihue,21.9789,-159.3672,28.77,64,20,7.72,US,1726368074
121,aral,40.5156,81.2636,24.27,23,100,5.61,CN,1726368075
122,west island,-12.1568,96.8225,27.99,74,20,5.66,CC,1726368076
123,suarez,2.954,-76.6964,21.09,92,79,1.83,CO,1726368077
124,mantua,45.1667,10.7833,12.77,77,84,4.0,IT,1726368079
125,twentynine palms,34.1356,-116.0542,31.19,27,0,1.34,US,1726368080
126,szprotawa,51.5656,15.5366,11.25,75,99,7.31,PL,1726368081
127,hasaki,35.7333,140.8333,28.83,70,7,10.18,JP,1726368082
128,tadine,-21.55,167.8833,23.74,65,0,6.86,NC,1726368083
129,tocopilla,-22.092,-70.1979,16.81,68,7,4.58,CL,1726368084
130,juba,4.8517,31.5825,20.79,92,45,1.22,SS,1726368085
131,kuanda,56.3161,116.0806,14.04,49,58,1.21,RU,1726368086
132,nova sintra,14.8667,-24.7167,26.05,75,53,5.15,CV,1726368087
133,enewetak,11.3474,162.3373,29.06,78,100,6.65,MH,1726368089
134,stanley,54.868,-1.6985,14.04,84,40,5.66,GB,1726368090
135,korsun-shevchenkivskyi,49.4189,31.2587,21.3,30,71,7.1,UA,1726368091
136,suances,43.4334,-4.0434,17.21,93,0,0.0,ES,1726368092
137,robertsport,6.7533,-11.3686,25.08,86,69,4.71,LR,1726368093
138,saint-joseph,-21.3667,55.6167,18.21,66,36,5.29,RE,1726368094
139,tak,16.5833,98.8333,22.21,87,99,1.88,TH,1726368096
140,berbera,10.4396,45.0143,33.43,37,84,8.71,SO,1726368098
141,port augusta,-32.5,137.7667,17.84,19,0,7.07,AU,1726368099
142,klyuchi,52.2667,79.1667,14.25,76,12,4.54,RU,1726368101
143,ust-nera,64.5667,143.2,5.94,76,88,3.3,RU,1726368102
144,talnakh,69.4865,88.3972,3.55,62,90,1.19,RU,1726368103
145,pudozh,61.8099,36.5345,12.47,80,96,2.1,RU,1726368104
146,xining,36.6167,101.7667,15.63,78,100,0.94,CN,1726368107
147,hami,42.8,93.45,21.37,29,14,3.29,CN,1726368108
148,panaba,21.2833,-88.2667,26.25,86,62,3.24,MX,1726368109
149,kiunga,-6.1219,141.2906,28.51,73,88,1.72,PG,1726368110
150,murg,47.5667,8.0333,7.11,90,0,1.88,DE,1726368111
151,utrik,11.2278,169.8474,28.48,80,100,8.32,MH,1726368112
152,port mathurin,-19.6833,63.4167,20.62,63,93,11.28,MU,1726368114
153,port-gentil,-0.7193,8.7815,24.79,88,99,4.88,GA,1726368115
154,aykhal,66.0,111.5,0.36,91,100,7.9,RU,1726368116
155,petropavlovsk-kamchatsky,53.0452,158.6483,16.33,27,0,7.0,RU,1726368117
156,kingscliff,-28.2667,153.5667,23.89,50,13,6.17,AU,1726368119
157,port elizabeth,-33.918,25.5701,16.84,96,100,2.06,ZA,1726368121
158,tucuma,-0.1833,-50.05,26.04,80,15,4.14,BR,1726368122
159,bikenibeu village,1.3673,173.1241,31.98,66,40,4.12,KI,1726368123
